based_in:,member for:,company_name:,rating:,reports:
"Addlestone, Surrey",1 year,A & A Builders (Surrey) Ltd,9.83,43
"Chessington, Surrey",9 years,A & A Plumbing & Heating Engineers,9.64,232
"Harlow, Essex",2 years,A & A Windows Direct Ltd,9.81,123
"Reading, Berkshire",3 years,A & B Builders,9.86,55
"Luton, Bedfordshire",Less than a year,A & B Building Services,9.88,2
"Epsom, Surrey",11 years,A & B Plumbing & Drainage,9.83,808
"Wirral, Merseyside",1 year,A & B Resurfacing,9.86,41
"Potters Bar, Hertfordshire",1 year,A & C,9.95,15
"Lambeth, Greater London",2 years,A & C Clearances Ltd,9.95,145
"Poole, Dorset",2 years,A & C Landscaping & Driveway Surfacing,9.9,48
"Eastleigh, Hampshire",8 years,A & C Plastering Ltd.,9.85,481
"Blyth, Northumberland",Less than a year,A & C Plumbing and Maintenance Service,9.96,7
"Bognor Regis, West Sussex",7 years,A & D Autos (Bognor) Ltd,9.5,81
"Blackburn, Lancashire",2 years,A & D Building and Roofing,9.74,78
"West Drayton, Middlesex",1 year,A & D Driveways & Patios,9.99,37
"Poole, Dorset",4 years,A & D Plastering,9.93,231
"Southampton, Hampshire",6 years,A & D Plumbing & Heating,9.9,228
"Gosport, Hampshire",4 years,A & D Roofing,9.85,129
"Harworth, Nottinghamshire",2 years,A & D Roofing & Building,9.98,31
"Woking, Surrey",2 years,A & D Sturt Building Services,9.86,24
"Croydon, Surrey",2 years,A & E Electrical,9.94,101
"Eastleigh, Hampshire",1 year,A & E Gas Services,9.97,58
"Chislehurst, Kent",2 years,A & E Locksmith,9.95,191
"Reading, Berkshire",2 years,A & E Property Services,9.78,62
London,4 years,A & F Services T/A Sheen Green Plumbing & Heating,9.68,71
"Twickenham, Middlesex",11 years,A & F Services T/a Twickenham Green Plumbing & Heating,9.68,213
"Waterlooville, Hampshire",2 years,A & G Builders,9.94,51
"Chingford, London",4 years,A & G Decorators,9.9,89
"Weymouth, Dorset",Less than a year,A & G Garage Doors,9.96,12
"Ilkeston, Derbyshire",Less than a year,A & G Installations Ltd,9.85,5
"Nottingham, Nottinghamshire",1 year,A & G Installations Ltd,9.95,27
"Wokingham, Berkshire",7 years,A & G Roofing,9.87,187
"Bath, Somerset",3 years,A & G Surfacing,9.73,59
"Eastbourne, East Sussex",2 years,A & H Construction,9.94,27
"Liverpool, Merseyside",Less than a year,A & J & Sons,9.71,6
"Brighton, East Sussex",3 years,A & J Building Services,9.89,35
"Willenhall, West Midlands",4 years,A & J Home Improvements,9.79,96
"Southampton, Hampshire",2 years,A & J Montana,9.89,121
"Bradford, West Yorkshire",1 year,A & J Painters and Decorators,9.93,107
"Jarrow, Tyne and Wear",3 years,A & J Power Services,9.83,98
"Billericay, Essex",4 years,A & J Roofing & Property Services,9.79,153
"Alton, Hampshire",8 years,A & J Roofing (Haslemere) Ltd,9.81,286
"Chichester, West Sussex",1 year,A & K Landscapes,9.65,29
"Walton-on-Thames, Surrey",4 years,A & K Painters And Decorators Private And Commercial Property Maintenance,9.98,138
"Walton-on-Thames, Surrey",4 years,A & K Roofing,9.9,65
"Southampton, Hampshire",7 years,A & L Roofing,9.74,60
"Worthing, West Sussex",10 years,A & M Paving Contractors Ltd,9.88,534
"Rochester, Kent",4 years,A & N Aerials Ltd,9.89,288
"Borehamwood, Hertfordshire",4 years,A & P Aerial & Satellites,9.82,219
"Epsom, Surrey",10 years,A & P Plumbing,9.83,202
"Widnes, Cheshire",3 years,A & P Roofing Of Widnes Ltd.,9.61,47
"Chatham, Kent",Less than a year,A & R Decorators Ltd,10,15
"Ryton, Tyne and Wear",2 years,"A & R Gas, Plumbing & Heating",9.95,86
